loinc_num,query_id,composite_clue,TF,IDF,is_in_component,is_in_system,relevance
74774-1,glucose_blood,glucose,1,"1,048",1,0,1
35184-1,glucose_blood,glucose,1,"1,048",1,0,1
14764-5,glucose_blood,glucose,2,"1,048",1,0,1
14749-6,glucose_blood,glucose,1,"1,048",1,0,1
15076-3,glucose_blood,glucose,1,"1,048",1,0,0
14747-0,glucose_blood,glucose,1,"1,048",1,0,0
74774-1,glucose_blood,blood,3,"0,127",0,1,1
35184-1,glucose_blood,blood,2,"0,127",0,1,1
14764-5,glucose_blood,blood,2,"0,127",0,1,1
14749-6,glucose_blood,blood,2,"0,127",0,1,1
934-0,glucose_blood,blood,1,"0,127",1,0,0
933-2,glucose_blood,blood,1,"0,127",1,0,0
925-8,glucose_blood,blood,1,"0,127",1,0,0
890-4,glucose_blood,blood,3,"0,127",1,1,0
883-9,glucose_blood,blood,1,"0,127",0,1,0
882-1,glucose_blood,blood,1,"0,127",0,1,0
6768-6,glucose_blood,blood,2,"0,127",0,1,0
4671-4,glucose_blood,blood,1,"0,127",0,1,0
35192-4,glucose_blood,blood,2,"0,127",0,1,0
31100-1,glucose_blood,blood,1,"0,127",0,1,0
3082-5,glucose_blood,blood,1,"0,127",0,1,0
30522-7,glucose_blood,blood,2,"0,127",0,1,0
29265-6,glucose_blood,blood,2,"0,127",0,1,0
26484-6,glucose_blood,blood,1,"0,127",0,1,0
26478-8,glucose_blood,blood,1,"0,127",0,1,0
26474-7,glucose_blood,blood,1,"0,127",0,1,0
26464-8,glucose_blood,blood,1,"0,127",0,1,0
2143-6,glucose_blood,blood,2,"0,127",0,1,0
2132-9,glucose_blood,blood,1,"0,127",0,1,0
2111-3,glucose_blood,blood,2,"0,127",0,1,0
2093-3,glucose_blood,blood,2,"0,127",0,1,0
2085-9,glucose_blood,blood,2,"0,127",0,1,0
2075-0,glucose_blood,blood,2,"0,127",0,1,0
2069-3,glucose_blood,blood,1,"0,127",0,1,0
20565-8,glucose_blood,blood,1,"0,127",0,1,0
20442-0,glucose_blood,blood,1,"0,127",0,1,0
2039-6,glucose_blood,blood,2,"0,127",0,1,0
2028-9,glucose_blood,blood,2,"0,127",0,1,0
1995-0,glucose_blood,blood,2,"0,127",0,1,0
1994-3,glucose_blood,blood,1,"0,127",0,1,0
1988-5,glucose_blood,blood,2,"0,127",0,1,0
1975-2,glucose_blood,blood,2,"0,127",0,1,0
1971-1,glucose_blood,blood,2,"0,127",0,1,0
1968-7,glucose_blood,blood,2,"0,127",0,1,0
1959-6,glucose_blood,blood,1,"0,127",0,1,0
1920-8,glucose_blood,blood,2,"0,127",0,1,0
19080-1,glucose_blood,blood,2,"0,127",0,1,0
1798-8,glucose_blood,blood,2,"0,127",0,1,0
17861-6,glucose_blood,blood,2,"0,127",0,1,0
1759-0,glucose_blood,blood,2,"0,127",0,1,0
1751-7,glucose_blood,blood,2,"0,127",0,1,0
1742-6,glucose_blood,blood,2,"0,127",0,1,0
14578-9,glucose_blood,blood,2,"0,127",0,1,0
1250-0,glucose_blood,blood,0,"0,127",0,1,0
10331-7,glucose_blood,blood,1,"0,127",0,1,0
1003-3,glucose_blood,blood,2,"0,127",0,1,0
1968-7,bilirubin_plasma,bilirubin,1,"0,974",1,0,1
1968-7,bilirubin_plasma,plasma,1,"0,328",0,1,1
1975-2,bilirubin_plasma,bilirubin,1,"0,974",1,0,1
1975-2,bilirubin_plasma,plasma,1,"0,328",0,1,1
1971-1,bilirubin_plasma,bilirubin,1,"0,974",1,0,1
1971-1,bilirubin_plasma,plasma,1,"0,328",0,1,1
35192-4,bilirubin_plasma,bilirubin,1,"0,974",1,0,1
35192-4,bilirubin_plasma,plasma,1,"0,328",0,1,1
14423-8,bilirubin_plasma,bilirubin,1,"0,974",1,0,0
54439-5,bilirubin_plasma,bilirubin,1,"0,974",0,0,0
54439-5,bilirubin_plasma,plasma,0,"0,328",0,0,0
33870-7,bilirubin_plasma,bilirubin,1,"0,974",1,0,0
1742-6,bilirubin_plasma,plasma,1,"0,328",0,1,0
30522-7,bilirubin_plasma,plasma,1,"0,328",0,1,0
2093-3,bilirubin_plasma,plasma,1,"0,328",0,1,0
890-4,bilirubin_plasma,plasma,1,"0,328",0,1,0
17861-6,bilirubin_plasma,plasma,1,"0,328",0,1,0
1759-0,bilirubin_plasma,plasma,1,"0,328",0,1,0
2028-9,bilirubin_plasma,plasma,1,"0,328",0,1,0
74774-1,bilirubin_plasma,plasma,1,"0,328",0,1,0
2143-6,bilirubin_plasma,plasma,1,"0,328",0,1,0
2039-6,bilirubin_plasma,plasma,1,"0,328",0,1,0
3082-5,bilirubin_plasma,plasma,1,"0,328",0,1,0
1003-3,bilirubin_plasma,plasma,1,"0,328",0,1,0
14749-6,bilirubin_plasma,plasma,1,"0,328",0,1,0
1751-7,bilirubin_plasma,plasma,1,"0,328",0,1,0
14764-5,bilirubin_plasma,plasma,1,"0,328",0,1,0
19080-1,bilirubin_plasma,plasma,1,"0,328",0,1,0
2111-3,bilirubin_plasma,plasma,1,"0,328",0,1,0
29265-6,bilirubin_plasma,plasma,1,"0,328",0,1,0
35184-1,bilirubin_plasma,plasma,1,"0,328",0,1,0
6768-6,bilirubin_plasma,plasma,1,"0,328",0,1,0
1798-8,bilirubin_plasma,plasma,1,"0,328",0,1,0
2075-0,bilirubin_plasma,plasma,1,"0,328",0,1,0
4671-4,bilirubin_plasma,plasma,1,"0,328",0,1,0
1920-8,bilirubin_plasma,plasma,1,"0,328",0,1,0
2085-9,bilirubin_plasma,plasma,1,"0,328",0,1,0
1995-0,bilirubin_plasma,plasma,1,"0,328",0,1,0
1988-5,bilirubin_plasma,plasma,1,"0,328",0,1,0
934-0,white_blood_cells_count,blood,1,"0,127",1,0,0
933-2,white_blood_cells_count,blood,1,"0,127",1,0,0
925-8,white_blood_cells_count,blood,1,"0,127",1,0,0
890-4,white_blood_cells_count,blood,3,"0,127",1,1,1
883-9,white_blood_cells_count,blood,1,"0,127",0,1,0
882-1,white_blood_cells_count,blood,1,"0,127",0,1,0
74774-1,white_blood_cells_count,blood,3,"0,127",0,1,0
6768-6,white_blood_cells_count,blood,2,"0,127",0,1,0
4671-4,white_blood_cells_count,blood,1,"0,127",0,1,0
35192-4,white_blood_cells_count,blood,2,"0,127",0,1,0
35184-1,white_blood_cells_count,blood,2,"0,127",0,1,0
31100-1,white_blood_cells_count,blood,1,"0,127",0,1,0
3082-5,white_blood_cells_count,blood,1,"0,127",0,1,0
30522-7,white_blood_cells_count,blood,2,"0,127",0,1,0
29265-6,white_blood_cells_count,blood,2,"0,127",0,1,0
26484-6,white_blood_cells_count,white blood cells,1,"1,224",1,0,1
26484-6,white_blood_cells_count,blood,1,"0,127",0,1,1
26478-8,white_blood_cells_count,white blood cells,2,"1,224",1,0,1
26478-8,white_blood_cells_count,blood,1,"0,127",0,1,1
26474-7,white_blood_cells_count,white blood cells,1,"1,224",1,0,1
26474-7,white_blood_cells_count,blood,1,"0,127",0,1,1
26464-8,white_blood_cells_count,white blood cells,1,"1,224",1,0,1
26464-8,white_blood_cells_count,blood,1,"0,127",0,1,1
2143-6,white_blood_cells_count,blood,2,"0,127",0,1,0
2132-9,white_blood_cells_count,blood,1,"0,127",0,1,0
2111-3,white_blood_cells_count,blood,2,"0,127",0,1,0
2093-3,white_blood_cells_count,blood,2,"0,127",0,1,0
2085-9,white_blood_cells_count,blood,2,"0,127",0,1,0
2075-0,white_blood_cells_count,blood,2,"0,127",0,1,0
2069-3,white_blood_cells_count,blood,1,"0,127",0,1,0
20565-8,white_blood_cells_count,blood,1,"0,127",0,1,0
20442-0,white_blood_cells_count,blood,1,"0,127",0,1,0
2039-6,white_blood_cells_count,blood,2,"0,127",0,1,0
2028-9,white_blood_cells_count,blood,2,"0,127",0,1,0
1995-0,white_blood_cells_count,blood,2,"0,127",0,1,0
1994-3,white_blood_cells_count,blood,1,"0,127",0,1,0
1988-5,white_blood_cells_count,blood,2,"0,127",0,1,0
1975-2,white_blood_cells_count,blood,2,"0,127",0,1,0
1971-1,white_blood_cells_count,blood,2,"0,127",0,1,0
1968-7,white_blood_cells_count,blood,2,"0,127",0,1,0
1959-6,white_blood_cells_count,blood,1,"0,127",0,1,0
1920-8,white_blood_cells_count,blood,2,"0,127",0,1,0
19080-1,white_blood_cells_count,blood,2,"0,127",0,1,0
1798-8,white_blood_cells_count,blood,2,"0,127",0,1,0
17861-6,white_blood_cells_count,blood,2,"0,127",0,1,0
1759-0,white_blood_cells_count,blood,2,"0,127",0,1,0
1751-7,white_blood_cells_count,blood,2,"0,127",0,1,0
1742-6,white_blood_cells_count,blood,2,"0,127",0,1,0
14764-5,white_blood_cells_count,blood,2,"0,127",0,1,0
14749-6,white_blood_cells_count,blood,2,"0,127",0,1,0
14578-9,white_blood_cells_count,blood,2,"0,127",0,1,0
1250-0,white_blood_cells_count,blood,0,"0,127",0,1,0
10331-7,white_blood_cells_count,blood,1,"0,127",0,1,0
1003-3,white_blood_cells_count,blood,2,"0,127",0,1,0
